Mês de Data Escala de Tempo 1 DH Simp 4;Período Exibido DH;Reservatório;Data do Incio da Semana Din Instante DH Simp 4;Data Escala de Tempo 1 DH Simp 4;Texto Data Incio da Semana Din Instante DH;Selecione Tipo DH Simp 4
janeiro de 2008;Mês;ITÁ;;01/01/2008;;723
fevereiro de 2008;Mês;ITÁ;;01/02/2008;;647
março de 2008;Mês;ITÁ;;01/03/2008;;362
abril de 2008;Mês;ITÁ;;01/04/2008;;514
maio de 2008;Mês;ITÁ;;01/05/2008;;771
junho de 2008;Mês;ITÁ;;01/06/2008;;1117
julho de 2008;Mês;ITÁ;;01/07/2008;;910
agosto de 2008;Mês;ITÁ;;01/08/2008;;736
setembro de 2008;Mês;ITÁ;;01/09/2008;;1069
outubro de 2008;Mês;ITÁ;;01/10/2008;;2360
novembro de 2008;Mês;ITÁ;;01/11/2008;;2299
dezembro de 2008;Mês;ITÁ;;01/12/2008;;914
janeiro de 2009;Mês;ITÁ;;01/01/2009;;736
fevereiro de 2009;Mês;ITÁ;;01/02/2009;;519
março de 2009;Mês;ITÁ;;01/03/2009;;507
abril de 2009;Mês;ITÁ;;01/04/2009;;352
maio de 2009;Mês;ITÁ;;01/05/2009;;250
junho de 2009;Mês;ITÁ;;01/06/2009;;266
julho de 2009;Mês;ITÁ;;01/07/2009;;1148
agosto de 2009;Mês;ITÁ;;01/08/2009;;1998
setembro de 2009;Mês;ITÁ;;01/09/2009;;4121
outubro de 2009;Mês;ITÁ;;01/10/2009;;2343
novembro de 2009;Mês;ITÁ;;01/11/2009;;1383
dezembro de 2009;Mês;ITÁ;;01/12/2009;;937
janeiro de 2010;Mês;ITÁ;;01/01/2010;;1531
fevereiro de 2010;Mês;ITÁ;;01/02/2010;;1702
março de 2010;Mês;ITÁ;;01/03/2010;;1003
abril de 2010;Mês;ITÁ;;01/04/2010;;2261
maio de 2010;Mês;ITÁ;;01/05/2010;;2740
junho de 2010;Mês;ITÁ;;01/06/2010;;1306
julho de 2010;Mês;ITÁ;;01/07/2010;;1330
agosto de 2010;Mês;ITÁ;;01/08/2010;;1305
setembro de 2010;Mês;ITÁ;;01/09/2010;;985
outubro de 2010;Mês;ITÁ;;01/10/2010;;1033
novembro de 2010;Mês;ITÁ;;01/11/2010;;747
dezembro de 2010;Mês;ITÁ;;01/12/2010;;1380
janeiro de 2011;Mês;ITÁ;;01/01/2011;;989
fevereiro de 2011;Mês;ITÁ;;01/02/2011;;1892
março de 2011;Mês;ITÁ;;01/03/2011;;1498
abril de 2011;Mês;ITÁ;;01/04/2011;;1438
maio de 2011;Mês;ITÁ;;01/05/2011;;1095
junho de 2011;Mês;ITÁ;;01/06/2011;;1192
julho de 2011;Mês;ITÁ;;01/07/2011;;2760
agosto de 2011;Mês;ITÁ;;01/08/2011;;3600
setembro de 2011;Mês;ITÁ;;01/09/2011;;3021
outubro de 2011;Mês;ITÁ;;01/10/2011;;1398
novembro de 2011;Mês;ITÁ;;01/11/2011;;1034
dezembro de 2011;Mês;ITÁ;;01/12/2011;;505
janeiro de 2012;Mês;ITÁ;;01/01/2012;;482
fevereiro de 2012;Mês;ITÁ;;01/02/2012;;756
março de 2012;Mês;ITÁ;;01/03/2012;;592
abril de 2012;Mês;ITÁ;;01/04/2012;;216
maio de 2012;Mês;ITÁ;;01/05/2012;;218
junho de 2012;Mês;ITÁ;;01/06/2012;;405
julho de 2012;Mês;ITÁ;;01/07/2012;;786
agosto de 2012;Mês;ITÁ;;01/08/2012;;951
setembro de 2012;Mês;ITÁ;;01/09/2012;;676
outubro de 2012;Mês;ITÁ;;01/10/2012;;1037
novembro de 2012;Mês;ITÁ;;01/11/2012;;502
dezembro de 2012;Mês;ITÁ;;01/12/2012;;308
janeiro de 2013;Mês;ITÁ;;01/01/2013;;687
fevereiro de 2013;Mês;ITÁ;;01/02/2013;;642
