"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17"
"1";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Concordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente"
"2";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo fortemente"
"3";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Não concordo nem discordo"
"4";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo parcialmente";"Concordo fortemente"
"5";"Concordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"6";"Concordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Concordo fortemente"
"7";"Discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Concordo parcialmente";"Concordo";"Concordo parcialmente";"Concordo parcialmente"
"8";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Concordo";"Concordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo parcialmente";"Discordo";"Não concordo nem discordo"
"9";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Concordo fortemente"
"10";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente"
"11";"Concordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo parcialmente"
"12";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo parcialmente";"Discordo fortemente";"Discordo";"Concordo parcialmente"
"13";"Concordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Concordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Concordo";"Concordo fortemente";"Concordo fortemente"
