rato sexo esterilizacao adrenalectomy peso
1 1 0 0 26
2 1 0 0 24
3 1 0 0 25
4 1 0 0 31
5 1 0 0 20
6 1 0 0 19
7 1 0 0 27
8 1 0 0 27
9 0 1 1 52
10 1 1 1 45
11 0 1 0 32
12 0 1 1 52
13 1 1 0 44
14 1 1 0 41
15 1 1 1 48
16 0 1 1 48
17 1 0 1 31
18 0 1 0 45
19 0 0 1 38
20 1 1 1 39
21 1 1 1 34
22 0 0 1 47
23 0 0 0 35
24 1 1 0 43
25 0 0 1 44
26 1 0 1 39
27 0 0 0 29
28 0 0 0 36
29 1 1 0 39
30 0 0 1 42
31 0 1 0 33
32 0 1 0 34
33 1 0 1 21
34 0 0 0 50
35 0 1 1 45
36 0 1 0 39
37 1 0 1 26
38 1 0 1 35
39 0 1 0 34
40 1 0 1 25
41 0 0 0 31
42 0 0 1 39
43 0 1 1 40
44 0 1 0 42
45 0 0 0 35
46 1 1 1 41
47 1 1 1 38
48 0 0 1 48
49 1 1 0 36
50 1 0 1 32
51 1 1 0 31
52 0 0 1 44
53 0 1 1 46
54 1 0 1 44
55 0 1 1 56
56 0 0 1 35
57 1 1 1 55
58 1 1 1 44
59 0 1 1 55
60 0 0 0 48
61 1 1 0 32
62 1 1 0 41
63 0 0 0 48
64 0 1 0 35
